0,1,2,3,4,5
1.3273604,2.7951756,0.10529889,-2.7296855,0.1160598,-1.5467045
-1.4218849,-4.482256,-2.7951326,0.47490367,0.06602503,1.1486874
-0.45421162,-4.5190325,-0.43291044,3.242875,-0.45171508,0.117512465
-0.96527714,-2.874291,0.036029283,1.787215,-1.3676916,-0.122308224
-0.010312159,1.9458449,1.7317837,-0.40054432,0.06838357,0.0897793
-1.526617,0.9332839,2.8568237,0.37589735,0.51466656,0.8136247
1.2165427,-3.797924,0.09084249,3.4629958,-0.18803793,-1.082064
0.23516858,-0.09937371,-0.078538835,-0.6955056,1.3826632,-0.59862727
-0.26425833,2.013619,0.9590954,-1.4581947,-0.43337736,-0.060202975
1.3996279,0.8733279,-0.5514198,-0.9958915,-0.29883578,-0.9659655
-1.0438168,-3.2049224,-0.25661224,1.9998192,0.43622005,0.5869661
1.8942946,-0.9609061,-1.5978891,-2.4870787,-1.4966966,-1.8676189
0.07147288,1.4689888,-0.62821925,-2.8688998,-0.23319516,-0.6256344
2.4060571,1.6474721,1.5151371,-0.65467227,-0.5405746,-1.6536461
-0.64636785,-0.4043596,0.5122175,1.8994734,0.5019281,1.1514853
0.72616833,-0.005909443,-2.7007403,-2.5368025,-0.5844773,-0.7608073
-0.8563268,-0.96408933,2.0811336,3.4830577,0.3477986,1.77396
-1.4206897,2.1954405,1.5086498,-1.4228071,0.36361682,-0.11882673
1.2787275,0.796259,2.3128242,1.0281396,-1.1901861,-1.786024
-0.87706244,0.4169194,-0.33953035,-1.5797725,0.3467248,0.2827841
1.292237,1.7785954,0.5299288,-0.8775071,-0.42574617,-1.1275882
1.8026284,2.8615837,0.20230334,-1.9515275,-0.741399,-1.4409642
-0.03837976,-0.68832207,-0.5537091,-0.13702449,0.16314459,-0.30659354
2.00815,0.17474145,-0.37881127,-0.4318883,0.45287746,-0.6609195
2.910491,-0.684679,-0.09820102,0.94642234,-0.08821216,-0.7774734
1.1102033,0.123361014,-2.2704313,-2.116261,-0.93735415,-0.58381975
-0.40668857,-0.29062495,2.84438,3.203082,0.6175067,0.50962234
0.7303621,1.9832675,-1.4142704,-3.6077673,0.030774444,-1.1739786
1.5756593,0.3739326,0.76921225,0.16573471,-1.0563648,-1.3718214
1.7977031,-0.69826627,-1.2314061,1.4824181,1.1765982,1.0549102
2.296066,-0.94485945,-0.38171017,1.0672076,-1.3814602,-0.6926285
0.21313223,-1.5185031,0.8816436,1.8578384,-0.804825,-1.0017387
